"Mode","Indicator","Week Number","Week Ending","Week % Change from Baseline"
"Maritime","TEU Vessel Capacity of Containerships","21","2022 May 29 12:00:00 AM","-17%"
"Maritime","TEU Vessel Capacity of Containerships","22","2022 Jun 05 12:00:00 AM","-14%"
"Maritime","TEU Vessel Capacity of Containerships","23","2022 Jun 12 12:00:00 AM","-10%"
"Maritime","TEU Vessel Capacity of Containerships","24","2022 Jun 19 12:00:00 AM","-6%"
"Maritime","TEU Vessel Capacity of Containerships","25","2022 Jun 26 12:00:00 AM","-14%"
"Maritime","TEU Vessel Capacity of Containerships","26","2022 Jul 03 12:00:00 AM","-15%"
"Maritime","TEU Vessel Capacity of Containerships","27","2022 Jul 10 12:00:00 AM","-28%"
"Maritime","TEU Vessel Capacity of Containerships","28","2022 Jul 17 12:00:00 AM","-21%"
"Maritime","TEU Vessel Capacity of Containerships","29","2022 Jul 24 12:00:00 AM","-8%"
"Maritime","TEU Vessel Capacity of Containerships","30","2022 Jul 31 12:00:00 AM","-7%"
"Maritime","TEU Vessel Capacity of Containerships","31","2022 Aug 07 12:00:00 AM","-15%"
"Maritime","TEU Vessel Capacity of Containerships","32","2022 Aug 14 12:00:00 AM","-13%"
"Maritime","TEU Vessel Capacity of Containerships","33","2022 Aug 21 12:00:00 AM","-10%"
"Maritime","TEU Vessel Capacity of Containerships","34","2022 Aug 28 12:00:00 AM","-11%"
"Maritime","TEU Vessel Capacity of Containerships","35","2022 Sep 04 12:00:00 AM","3%"
"Maritime","TEU Vessel Capacity of Containerships","36","2022 Sep 11 12:00:00 AM","-24%"
"Maritime","TEU Vessel Capacity of Containerships","37","2022 Sep 18 12:00:00 AM","-16%"
"Maritime","TEU Vessel Capacity of Containerships","38","2022 Sep 25 12:00:00 AM","-8%"
"Maritime","TEU Vessel Capacity of Containerships","39","2022 Oct 02 12:00:00 AM","-20%"
"Maritime","TEU Vessel Capacity of Containerships","40","2022 Oct 09 12:00:00 AM","-14%"
"Maritime","TEU Vessel Capacity of Containerships","41","2022 Oct 16 12:00:00 AM","-10%"
"Maritime","TEU Vessel Capacity of Containerships","42","2022 Oct 23 12:00:00 AM","-3%"
